,Nombre,Categoría,Sección,Descripción,Dimensiones,URL Imágenes
0,ALF1,Alfombra,Arabe,AlfombraALF1Arabe  Alfombra persa marrón (tiene unas manchas que no se quitan).460x340x1Añadir al presupuesto,460x340x1,https://atrezzovazquez.es/admin/img_prod/ALF1/ALF1-720x540.png
1,ADO1,Adornos,,AdornosADO1Vitrina con abanico100x10x60Añadir al presupuesto,100x10x60,https://atrezzovazquez.es/admin/img_prod/ADO1/ADO1-720x540.png
2,AFC1,Alfombra de cama,Dormitorio,Alfombra de camaAFC1Dormitorio  Alfombrín de cama círculos azules150x72x1Añadir al presupuesto,150x72x1,https://atrezzovazquez.es/admin/img_prod/AFC1/AFC1-720x540.png
3,AP1,Aparador,Alemán Comedor,AparadorAP1Alemán  Comedor  Aparador alemán 2 cuerpos207x64x300Añadir al presupuesto,207x64x300,https://atrezzovazquez.es/admin/img_prod/AP1/AP1-720x540.png
4,AST1,Atrezzo astronomia,Astronomía,Atrezzo astronomiaAST1Astronomía  Pie de madera para astrolabio78x78x130Añadir al presupuesto,78x78x130,https://atrezzovazquez.es/admin/img_prod/AST1/AST1-pie-720x540.png
5,TOR1,Tortura,Carcel,TorturaTOR1Carcel  Silla eléctrica figurada65x60x120Añadir al presupuesto,65x60x120,https://atrezzovazquez.es/admin/img_prod/TOR1/TOR1-1-720x540.png
6,ARC1,Arcon,Dormitorio,ArconARC1Dormitorio  Arcón talla figuras vascas con tablero136x54x80Añadir al presupuesto,136x54x80,https://atrezzovazquez.es/admin/img_prod/ARC1/ARC1-1-720x540.png
7,AR1,Armario,Dormitorio,ArmarioAR1Dormitorio  Armario raíz y caoba 2 puertas espejo y cajones150x57x225Añadir al presupuesto,150x57x225,https://atrezzovazquez.es/admin/img_prod/AR1/AR1-720x540.png
8,ARM1,Armero,Militar,ArmeroARM1Militar  Armero para fusiles con cajones70x22x130Añadir al presupuesto,70x22x130,https://atrezzovazquez.es/admin/img_prod/ARM1/ARM1-1-720x540.png
9,ATD1,Ataud,,AtaudATD1Ataúd de niño pintado crema con cruz43x100x30Añadir al presupuesto,43x100x30,https://atrezzovazquez.es/admin/img_prod/ATD1/ATD1-1-720x540.png
10,ATR1,Atril,Religioso,AtrilATR1Religioso  Atril facistol columna torneada70x70x170Añadir al presupuesto,70x70x170,https://atrezzovazquez.es/admin/img_prod/ATR1/ATR1-1-720x540.png
11,BL1,Balancin,Columpio Jardín,BalancinBL1Columpio  Jardín  Balancín de jardín 2 cojines140x135x175Añadir al presupuesto,140x135x175,https://atrezzovazquez.es/admin/img_prod/BL1/BL1-1-720x540.png
12,BAC1,Banco,Portugues,BancoBAC1Portugues  Banco portugués respaldo alto torneado154x53x185Añadir al presupuesto,154x53x185,https://atrezzovazquez.es/admin/img_prod/BAC1/BAC1-1-720x540.png
13,BAN1,Banqueta,Bambú Jardín,BanquetaBAN1Bambú  Jardín  Banqueta bambú cuadrada36x36x54Añadir al presupuesto,36x36x54,https://atrezzovazquez.es/admin/img_prod/BAN1/BAN1-1-720x540.png
14,M1,Mesa,Jardín,MesaM1Jardín  Mesa jardín de rejilla tapa cristal70x70x47Añadir al presupuesto,70x70x47,https://atrezzovazquez.es/admin/img_prod/M1/M1-1-720x540.png
15,BA1,Baño,Bañera,BañoBA1Bañera  Bañera hierro fundido con patas garras doradas181x80x70Añadir al presupuesto,181x80x70,https://atrezzovazquez.es/admin/img_prod/BA1/BA1-1-720x540.png
16,BAR1,Bargueño,Gótico,BargueñoBAR1Gótico  Bargueño gótico con tapa hierros con pie95x35x150Añadir al presupuesto,95x35x150,https://atrezzovazquez.es/admin/img_prod/BAR1/BAR1-1-720x540.png
17,BRL1,Barril,Bar y cafetería Rústico,BarrilBRL1Bar y cafetería  Rústico  Barril de madera grande60x60x93Añadir al presupuesto,60x60x93,https://atrezzovazquez.es/admin/img_prod/BRL1/BRL1-1-720x540.png
18,BAS1,Bascula,Farmacia Hospital,BasculaBAS1Farmacia  Hospital  Báscula de farmacia forrada imitación madera47x45x132Añadir al presupuesto,47x45x132,https://atrezzovazquez.es/admin/img_prod/BAS1/BAS1-1-720x540.png
19,BAU1,Baul,Americano Viaje,BaulBAU1Americano  Viaje  Baúl armario americano verde58x58x103Añadir al presupuesto,58x58x103,https://atrezzovazquez.es/admin/img_prod/BAU1/BAU1-1-720x540.png
20,BEB1,Bebé,Columpio,BebéBEB1Columpio  Columpio de bebé para puerta (saltador)1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/BEB1/BEB1-720x540.png
21,PER1,Perchero,Español Recibidor,PercheroPER1Español  Recibidor  Perchero de pared estilo español tallado cabezas110x10x190Añadir al presupuesto,110x10x190,https://atrezzovazquez.es/admin/img_prod/PER1/PER1-720x540.png
22,ESC1,Escaleras,Tienda,EscalerasESC1Tienda  Escalera de tijera pintada verde50x90x140Añadir al presupuesto,50x90x140,https://atrezzovazquez.es/admin/img_prod/ESC1/ESC1-720x540.png
23,BIO1,Biombo,Dormitorio,BiomboBIO1Dormitorio  Biombo 4 hojas tapizado rojo y oro con galón240x5x170Añadir al presupuesto,240x5x170,https://atrezzovazquez.es/admin/img_prod/BIO1/BIO1-1-720x540.png
24,BIS1,Bis a bis,Salón,Bis a bisBIS1Salón  Bis a bis bambú nogal tapizado terciopelo rojo y azul1x120x105Añadir al presupuesto,1x120x105,https://atrezzovazquez.es/admin/img_prod/BIS1/BIS1-1-720x540.png
25,BRA1,Brasero,Calefaccion Medieval,BraseroBRA1Calefaccion  Medieval  Braseros pletina hierro de palo30x30x40Añadir al presupuesto,30x30x40,https://atrezzovazquez.es/admin/img_prod/BRA1/BRA1-1-720x540.png
26,BUT1,Butaca de cine,Cine Teatro,Butaca de cineBUT1Cine  Teatro  Fila de 5 asientos de butacas de cine pana roja254x60x80Añadir al presupuesto,254x60x80,https://atrezzovazquez.es/admin/img_prod/BUT1/BUT1-1-720x540.png
27,CAB1,Caballete,Frances Pintor,CaballeteCAB1Frances  Pintor  Caballete de pintor Luis XV dorado75x75x215Añadir al presupuesto,75x75x215,https://atrezzovazquez.es/admin/img_prod/CAB1/CAB1-1-720x540.png
28,CAR1,Caja registradora,Tienda,Caja registradoraCAR1Tienda  Caja registradora MCR con cajón1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/CAR1/CAR1-1-720x540.png
29,CF1,Caja fuerte,,Caja fuerteCF1Caja fuerte antigua con cajón y copete madera70x40x128Añadir al presupuesto,70x40x128,https://atrezzovazquez.es/admin/img_prod/CF1/CF1-720x540.png
30,CAJ1,Caja,Cajas Militar,CajaCAJ1Cajas  Militar  Caja de madera gris interior CINC42x40x34Añadir al presupuesto,42x40x34,https://atrezzovazquez.es/admin/img_prod/CAJ1/CAJ1-1-720x540.png
31,CA1,Cama,Cabecero Dormitorio,CamaCA1Cabecero  Dormitorio  Cabecero capitoné tapizado terciopelo marrón173x6x156Añadir al presupuesto,173x6x156,https://atrezzovazquez.es/admin/img_prod/CA1/CA1-720x540.png
32,REC1,Reclinatorio,Iglesia Religioso,ReclinatorioREC1Iglesia  Religioso  Reclinatorio nogal terciopelo rojo con capilla tallada68x95x186Añadir al presupuesto,68x95x186,https://atrezzovazquez.es/admin/img_prod/REC1/REC1-1-720x540.png
33,CARR1,Carretilla,Rústico,CarretillaCARR1Rústico  Carretilla de plataforma de madera150x50x53Añadir al presupuesto,150x50x53,https://atrezzovazquez.es/admin/img_prod/CARR1/CARR1-1-720x540.png
34,CSE1,Carro de servicio,Jardín Mimbre,Carro de servicioCSE1Jardín  Mimbre  Carro de servicio de caña0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/CSE1/CSE1-1-720x540.png
35,CTN1,Catenaria,,CatenariaCTN1Catenaria madera torneada con base cuadrada24x24x110Añadir al presupuesto,24x24x110,https://atrezzovazquez.es/admin/img_prod/CTN1/CT1-720x540.png
36,CH1,Chaiselongue,Salón,ChaiselongueCH1Salón  Chaiselonge tapizada terciopelo burdeos con cojín180x70x70Añadir al presupuesto,180x70x70,https://atrezzovazquez.es/admin/img_prod/CH1/CH1-720x540.png
37,CO1,Cocinas,Cocina Electrodomestico,CocinasCO1Cocina  Electrodomestico  Cocina de gas 4 fuegos con 2 cajones BENAVENT55x57x84Añadir al presupuesto,55x57x84,https://atrezzovazquez.es/admin/img_prod/CO1/CO1-2-720x540.png
38,COM1,Comoda,Dormitorio Isabelino,ComodaCOM1Dormitorio  Isabelino  Cómoda isabelina marquetería 4 cajones135x63x100Añadir al presupuesto,135x63x100,https://atrezzovazquez.es/admin/img_prod/COM1/COM1-1-720x540.png
39,CON1,Consola,Frances Recibidor,ConsolaCON1Frances  Recibidor  Consola Luis XVI pintada blanca y oro con chambrana115x50x85Añadir al presupuesto,115x50x85,https://atrezzovazquez.es/admin/img_prod/CON1/CON1-1-720x540.png
40,COS1,COS1,Costurero,COS1Costurero  Costurero nogal con bolsa cratona y cajón54x30x65Añadir al presupuesto,54x30x65,https://atrezzovazquez.es/admin/img_prod/COS1/COS01.bmp
41,CU1,Cuadro,Palacio Pintor Retratos,CuadroCU1Palacio  Pintor  Retratos  Cuadro marco ancho madera fotografía Felipe III (Autor de la Cruz)137x10x240Añadir al presupuesto,137x10x240,https://atrezzovazquez.es/admin/img_prod/CU1/CU1-720x540.png
42,ANU1,Carteles y anuncios,Tienda,Carteles y anunciosANU1Tienda  Bolsas de tiendas de papel antiguo10x1x15Añadir al presupuesto,10x1x15,https://atrezzovazquez.es/admin/img_prod/ANU1/ANU1-720x540.png
43,ESP1,Espejo,Dormitorio Frances,EspejoESP1Dormitorio  Frances  Espejo vestidor francés columnas torneadas95x60x190Añadir al presupuesto,95x60x190,https://atrezzovazquez.es/admin/img_prod/ESP1/ESP1-720x540.png
44,ES1,Estanteria,Descatalogado,EstanteriaES1Descatalogado  0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/ES1/LOGOTIPO VAZQUEZ- 720x540.png
45,EST1,Estufa,Calefaccion,EstufaEST1Calefaccion  Estufa salamandra hierro negra57x47x67Añadir al presupuesto,57x47x67,https://atrezzovazquez.es/admin/img_prod/EST1/EST1-720x540.png
46,ESTAT1,Estatua,Religioso,EstatuaESTAT1Religioso  Estatua escayola imagen Santo62x34x110Añadir al presupuesto,62x34x110,https://atrezzovazquez.es/admin/img_prod/ESTAT1/ESTAT1-1-720x540.png
47,ASP1,Aspiradoras,Electrodomestico,AspiradorasASP1Electrodomestico  Aspiradora antigua acero con bolsa corinto1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/ASP1/ASP1-720x540.png
48,GN1,Galan de noche,Dormitorio,Galan de nocheGN1Dormitorio  Galán de noche nogal40x40x137Añadir al presupuesto,40x40x137,https://atrezzovazquez.es/admin/img_prod/GN1/GN1-1-720X540.png
49,AGU1,Aguamaniles,Dormitorio,AguamanilesAGU1Dormitorio  Aguamanil loza crema dibujo rosa1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/AGU1/AGU1-720x450.png
50,ADP1,Animales disecados en panoplia,,Animales disecados en panopliaADP1Cabeza de ciervo disecada auténtica1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/ADP1/ADP1-1-720x540.png
51,F1,Fichero,Despacho,FicheroF1Despacho  Fichero madera 4 cajones53x65x133Añadir al presupuesto,53x65x133,https://atrezzovazquez.es/admin/img_prod/F1/F1-1-720x540.png
52,MUS1,Instrumentos musicales,Piano,Instrumentos musicalesMUS1Piano  Órgano eléctrico antiguo madera embero95x40x87Añadir al presupuesto,95x40x87,https://atrezzovazquez.es/admin/img_prod/MUS1/MUS1-1-720x540.png
53,DPT1,Deporte,Gimnasio,DeporteDPT1Gimnasio  Aparato saltador de hierro con muelle70x15x100Añadir al presupuesto,70x15x100,https://atrezzovazquez.es/admin/img_prod/DPT1/GIM1 720x540.png
54,LAM1,Lámpara,Lámpara de mesa Salón,LámparaLAM1Lámpara de mesa  Salón  Lámpara de mesa antigua chapa flor0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/LAM1/LAM1-720X540.png
55,FUM1,Artículos de fumador,Cajas,Artículos de fumadorFUM1Cajas  Cajas de puros diferentes1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/FUM1/FUM1-720x540.png
56,AZP1,Azulejos y platos de pared,Decoración,Azulejos y platos de paredAZP1Decoración  Azulejo de pared escena costumbrista marco forja hierro1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/AZP1/AZP1-720x540.png
57,BAD1,Bandejas,,BandejasBAD1Bandeja metal grabada1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/BAD1/BAD1-720x540.png
58,BYC1,Atrezzo de bar y cafetería,Bar y cafetería,Atrezzo de bar y cafeteríaBYC1Bar y cafetería  Jarras de cerveza de loza decorada1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/BYC1/BYC1-720x540.png
59,COL1,Atrezzo colegio,Colegio,Atrezzo colegioCOL1Colegio  Estuches y plumieres antiguos1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/COL1/COL1-720x540.png
60,DES1,Atrezzo despacho,Despacho Escribanías y tinteros,Atrezzo despachoDES1Despacho  Escribanías y tinteros  Escribanía de viaje nogal 2 tinteros1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/DES1/DES1(1)-720x540.png
61,ALA1,Alacena,Descatalogado,AlacenaALA1Descatalogado  Descatalogado1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/ALA1/LOGOTIPO VAZQUEZ- 720x540.png
62,CST1,Moda y costura,Avíos de costura,Moda y costuraCST1Avíos de costura  Acerillo de costura1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/CST1/CST1-720x540.png
63,VI1,Vitrina,Comedor Salón,VitrinaVI1Comedor  Salón  Vitrina rinconera nogal con mesa71x71x165Añadir al presupuesto,71x71x165,https://atrezzovazquez.es/admin/img_prod/VI1/VI1-1-720x540.png
64,CEM1,Cementerio,Cruces,CementerioCEM1Cruces  Cruz de cementerio de hierro forjado53x15x100Añadir al presupuesto,53x15x100,https://atrezzovazquez.es/admin/img_prod/CEM1/CEM1-720X540.png
65,CHI1,Chimenea,,ChimeneaCHI1Avíos chimenea hierro.1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/CHI1/CHI1-720x540.png
66,CRI1,Cristalería,Bomboneras,CristaleríaCRI1Bomboneras  Bombonera de cristal con asa1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/CRI1/CRI1-720x540.png
67,MC1,Macetero,Comedor Gótico Salón,MaceteroMC1Comedor  Gótico  Salón  Macetero gótico calado redondeles40x40x97Añadir al presupuesto,40x40x97,https://atrezzovazquez.es/admin/img_prod/MC1/MC1-1-720x540.png
68,ME1,Mesilla,Dormitorio Frances,MesillaME1Dormitorio  Frances  Mesilla francesa con copete y tapa mármol40x36x120Añadir al presupuesto,40x36x120,https://atrezzovazquez.es/admin/img_prod/ME1/ME1-1-720x540.png
69,VET1,Ventilador,,VentiladorVET1Ventilador de mesa pequeño antiguo aspas azules1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/VET1/VET1-720x540.png
70,REL1,Reloj,Inglesa Salón,RelojREL1Inglesa  Salón  Reloj de pie inglés caoba40x20x206Añadir al presupuesto,40x20x206,https://atrezzovazquez.es/admin/img_prod/REL1/REL1-1-720x540.png
71,TEL1,Telefonía,,TelefoníaTEL1Centralita antigua caja nogal0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/TEL1/TEL1-2-720x540.png
72,MYN1,Maletas y neceseres de viaje,Viaje,Maletas y neceseres de viajeMYN1Viaje  Maletas skay marrón correas55x40x25Añadir al presupuesto,55x40x25,https://atrezzovazquez.es/admin/img_prod/MYN1/MYN1-720x540.png
73,MYC1,Maletines y carteras,,Maletines y carterasMYC1Cartera skay amarillo0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/MYC1/MYC1-720x540.png
74,LYR1,Libros y revistas,,Libros y revistasLYR1Misales0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/LYR1/LYR1-720x540.png
75,URN1,Urnas,,UrnasURN1Urna antigua0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/URN1/URN1-720x540.png
76,TOC1,Objetos de tocador,Tocador,Objetos de tocadorTOC1Tocador  Botes de tocador plástico azul0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/TOC1/TOC1-720x540.png
77,VAJ1,Vajilla,Comedor,VajillaVAJ1Comedor  Vajilla loza Cartuja negra (12 servicios)0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/VAJ1/VAJ1-720x540.png
78,JUG1,Juguetes,Juguete,JuguetesJUG1Juguete  Juego Basquet-Car con su caja0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/JUG1/JUG1-720x540.png
79,JAR1,Jarrones y jarras,Adorno Decoración Salón,Jarrones y jarrasJAR1Adorno  Decoración  Salón  Jarra cobrizada baja asa metal0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/JAR1/JAR1-720x540.png
80,LOG1,Logicine,Hospital,LogicineLOG1Hospital  Mesilla hospital chapa blanca50x44x87Añadir al presupuesto,50x44x87,https://atrezzovazquez.es/admin/img_prod/LOG1/LOG1-1-720x540.png
81,TYV1,Televisores y vídeos,Televisor,Televisores y vídeosTYV1Televisor  Televisión portátil roja Grundig (color)47x40x35Añadir al presupuesto,47x40x35,https://atrezzovazquez.es/admin/img_prod/TYV1/TYV1-1-720x540.png
82,MYS1,Tocadiscos y altavoces,Altavoces Electrónica Musica Sonido,Tocadiscos y altavocesMYS1Altavoces  Electrónica  Musica  Sonido  Altavoces caja madera frontal negro0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/MYS1/MYS1-720x540.png
83,SOM1,Sombrereras,Viaje,SombrererasSOM1Viaje  Sombrereras actuales0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/SOM1/SOM1-720x540.png
84,TP1,Tapices y estandartes,Iglesia Medieval,Tapices y estandartesTP1Iglesia  Medieval  Tapiz pintado religioso Pantocrator180x0x275Añadir al presupuesto,180x0x275,https://atrezzovazquez.es/admin/img_prod/TP1/TP1-720x540.png
85,ML1,Librería,Despacho Inglesa,LibreríaML1Despacho  Inglesa  Librería despacho ingles caoba puertas cristal105x69x175Añadir al presupuesto,105x69x175,https://atrezzovazquez.es/admin/img_prod/ML1/ML1-1-720x540.png
86,JUZ1,Juzgado,Juzgados,JuzgadoJUZ1Juzgados  Estrado de juzgado madera tallado de 3 metros300x73x87Añadir al presupuesto,300x73x87,https://atrezzovazquez.es/admin/img_prod/JUZ1/JUZ1-720x540-removebg-preview.png
87,MED1,Atrezzo medicina,Hospital Medicina,Atrezzo medicinaMED1Hospital  Medicina  Juego de jeringuillas antiguo0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/MED1/MED1-720x540.png
88,HOS1,Hospitales,Hospital Medicina,HospitalesHOS1Hospital  Medicina  Banqueta de hospital giratoria asiento skay32x32x50Añadir al presupuesto,32x32x50,https://atrezzovazquez.es/admin/img_prod/HOS1/HOS1-720x540.png
89,VAA1,Atrezzo vario,Adorno Varios cocina,Atrezzo varioVAA1Adorno  Varios cocina  Alambique de cobre0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/VAA1/VAA1-720x540.png
90,GRA1,Gramófonos y gramolas,Musica,Gramófonos y gramolasGRA1Musica  Gramófono repujado con bocina0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/GRA1/GRA1-720x540.png
91,ARA1,Atrezzo Árabe,Arabe,Atrezzo ÁrabeARA1Arabe  Mesa árabe ochavada tapa marquetería108x60x77Añadir al presupuesto,108x60x77,https://atrezzovazquez.es/admin/img_prod/ARA1/ARA1-1-720x540.png
92,SI1,Sillón,Isabelino Salón Sillería,SillónSI1Isabelino  Salón  Sillería  Sillón isabelino caoba tapizado tela rayas65x60x115Añadir al presupuesto,65x60x115,https://atrezzovazquez.es/admin/img_prod/SI1/SI1-1-720x540.png
93,RAD1,Radios,Descatalogado,RadiosRAD1Descatalogado  Descatalogado0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/RAD1/LOGOTIPO VAZQUEZ- 720x540.png
94,JAM1,Jamuga,Navidad,JamugaJAM1Navidad  Jamuga dorada cabezas y garras tapizada terciopelo rojo110x60x145Añadir al presupuesto,110x60x145,https://atrezzovazquez.es/admin/img_prod/JAM1/JAM1-1-720x540.png
95,MV1,Muebles varios,Chifonier Frances,Muebles variosMV1Chifonier  Frances  Chifonier francés caoba y bronce55x35x146Añadir al presupuesto,55x35x146,https://atrezzovazquez.es/admin/img_prod/MV1/MV1-1-720x540.png
96,JAU1,Jaula,,JaulaJAU1Jaula grande de caña70x70x190Añadir al presupuesto,70x70x190,https://atrezzovazquez.es/admin/img_prod/JAU1/JAU1-720x540.png
97,JUE1,Juego,Casino,JuegoJUE1Casino  Ruleta de casino de madera y metal auténtica80x80x25Añadir al presupuesto,80x80x25,https://atrezzovazquez.es/admin/img_prod/JUE1/JUE1-720x540.png
98,JU1,Juguetero,,JugueteroJU1Juguetero caoba puertas marquetería y espejo85x36x175Añadir al presupuesto,85x36x175,https://atrezzovazquez.es/admin/img_prod/JU1/JU1-1-720x540.png
99,SIL1,Silla,Isabelino Sillería,SillaSIL1Isabelino  Sillería  Silla isabelina caoba tapizada tela rayas50x50x100Añadir al presupuesto,50x50x100,https://atrezzovazquez.es/admin/img_prod/SIL1/SIL1 (HAY 4) 720x540.png
100,LM1,Litera de mano,Edad media,Litera de manoLM1Edad media  Litera de transporte tapizada damasco rojo72x90x163Añadir al presupuesto,72x90x163,https://atrezzovazquez.es/admin/img_prod/LM1/LM1-1-720X540.png
101,MEC1,Mecedora,Curvado,MecedoraMEC1Curvado  Mecedora curvada nogal tapizada skay verde55x100x100Añadir al presupuesto,55x100x100,https://atrezzovazquez.es/admin/img_prod/MEC1/MEC1-1-720x540.png
102,MOS1,Mostrador,Tienda,MostradorMOS1Tienda  Mostrador de tienda de nogal con altillo (se le puede añadir una parte adicional para elevarlo)190x50x124Añadir al presupuesto,190x50x124,https://atrezzovazquez.es/admin/img_prod/MOS1/MOS1-1-720x540.png
103,S1,Sofá,Isabelino Salón Sillería,SofáS1Isabelino  Salón  Sillería  Sofá isabelino caoba tapizado tela rayas180x65x80Añadir al presupuesto,180x65x80,https://atrezzovazquez.es/admin/img_prod/S1/S1-1-720x540.png
104,ILU1,Iluminación,Calle,IluminaciónILU1Calle  Cabezas de farol de calle36x36x80Añadir al presupuesto,36x36x80,https://atrezzovazquez.es/admin/img_prod/ILU1/ILU001__MOU021___HAY_7_-removebg-preview.png
105,PV1,Pie de vela,Hachero Iglesia Medieval,Pie de velaPV1Hachero  Iglesia  Medieval  Hachero de suelo hierro aro calado 7 luces con pincho63x63x205Añadir al presupuesto,63x63x205,https://atrezzovazquez.es/admin/img_prod/PV1/PV1-720x540.png
106,SEC1,Secreter,Americano Salón,SecreterSEC1Americano  Salón  Bureau marquetería con cajones123x53x100Añadir al presupuesto,123x53x100,https://atrezzovazquez.es/admin/img_prod/SEC1/SEC1-1-720x540.png
107,PEL1,Peluquería,,PeluqueríaPEL1Sillón de peluquería tapizado skay negro con secador60x70x150Añadir al presupuesto,60x70x150,https://atrezzovazquez.es/admin/img_prod/PEL1/PEL1-1-720x540.png
108,SR1,Silla de ruedas,Hospital,Silla de ruedasSR1Hospital  Silla de inválido de calle150x75x110Añadir al presupuesto,150x75x110,https://atrezzovazquez.es/admin/img_prod/SR1/SR1-720x540.png
109,PC1,Pizarra,Colegio,PizarraPC1Colegio  Pizarra de colegio marco madera claro250x5x123Añadir al presupuesto,250x5x123,https://atrezzovazquez.es/admin/img_prod/PC1/PC1-720x540.png
110,BUZ1,Buzones,Portal,BuzonesBUZ1Portal  Bloque de 25 buzones madera y metal163x10x107Añadir al presupuesto,163x10x107,https://atrezzovazquez.es/admin/img_prod/BUZ1/BUZ1-1-720x540.png
111,CAM1,Cámara fotos y vídeo,Cámaras de fotos,Cámara fotos y vídeoCAM1Cámaras de fotos  Cámara de fotos antigua figurada con pie1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/CAM1/CAM1-720x540.png
112,QIN1,Quinqués,,QuinquésQIN1Quinqué alabastro forma copa1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/QIN1/QIN1-720x540.png
113,REV1,Revistero,Salón,RevisteroREV1Salón  Revistero dorado0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/REV1/REV1-1-720x540.png
114,MOU1,Mobiliario urbano,Descatalogado,Mobiliario urbanoMOU1Descatalogado  0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/MOU1/LOGOTIPO VAZQUEZ- 720x540.png
115,CDM1,Centro de mesa,Adorno,Centro de mesaCDM1Adorno  Centro de mesa de alabastro0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/CDM1/CDM1-720x540.png
116,PAP1,Papelera,,PapeleraPAP1Papelera de chapa amarilla0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/PAP1/PAP1-720x540.png
117,FIG1,Figuras,Adorno,FigurasFIG1Adorno  Caparazón de armadillo0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/FIG1/FIG1-720x540.png
118,PLA1,Playa,Hamaca Jardín,PlayaPLA1Hamaca  Jardín  Hamaca de madera con tela de rayas0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/PLA1/PLA1-1-720x540.png
119,REG1,Religión,Iglesia,ReligiónREG1Iglesia  Adorno religioso de altar de metal0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/REG1/REG1-720x540.png
120,RU1,Rural,Rústico Artesa,RuralRU1Rústico  Artesa  Artesa madera con pie110x51x61Añadir al presupuesto,110x51x61,https://atrezzovazquez.es/admin/img_prod/RU1/RU1-720x540.png
121,PAR1,Paragüero,,ParagüeroPAR1Paragüero metal aro calado1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/PAR1/PAR1-720x540.png
122,GUA1,Guarnición,Imperio,GuarniciónGUA1Imperio  Guarnición imperio mármol y bronce con reloj y 2 candelabros0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/GUA1/GUA1-720x540.png
123,PUR1,Puerta,Carcel,PuertaPUR1Carcel  Puerta de cárcel de hierro0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/PUR1/PUR1-720x540.png
124,ALA2,Alacena,Cocina Español,AlacenaALA2Cocina  Español  Alacena-armario de cuarterones106x38x175Añadir al presupuesto,106x38x175,https://atrezzovazquez.es/admin/img_prod/ALA2/ALA2-1-720x540.png
